BUS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1;0,861;0,875;0,875;0,861;0,846;0,934;0,934;0,905;0,905;0,875;0,875;1,036;1,167;0,978;0,978;1,342;1,474;1,357;1,036;1,05;0,992;1,021;0,963;0,861
2;0,916;0,934;0,968;1,003;0,951;0,986;0,813;0,934;0,951;1,055;1,159;0,968;1,193;0,899;0,916;0,882;0,899;1,003;0,934;1,297;1,159;1,107;1,072;1,003
3;0,732;0,684;0,732;0,661;0,732;0,708;0,661;0,779;0,991;1,133;1,086;1,204;1,369;1,227;1,251;1,133;1,322;1,109;0,991;1,699;1,062;0,991;0,92;0,826
4;1,136;0,927;1,003;1,23;1,003;0,984;0,89;1,022;0,965;1,022;0,909;0,946;0,927;0,965;0,965;0,909;0,814;0,814;0,852;1,117;1,249;1,192;1,155;1,003
5;0,898;0,898;0,954;0,842;0,898;0,898;0,87;0,954;1,039;1,151;0,926;1,095;1,235;0,954;1,039;0,982;1,039;1,011;1,095;1,207;0,982;1,067;1,011;0,954
6;0,966;0,886;0,886;0,725;0,886;0,966;0,846;0,966;0,966;1,087;1,128;0,886;0,926;0,886;1,047;1,409;1,087;0,805;1,047;1,128;1,168;1,128;1,128;1,047
7;0,966;1,123;0,966;0,966;1,149;1,071;0,888;1,071;1,149;1,201;1,332;1,201;0,653;0,992;0,966;1,201;1,123;0,914;0,783;0,836;0,966;0,94;0,81;0,731
8;0,863;0,937;0,987;0,888;0,962;0,839;0,913;0,913;0,937;0,863;1,135;1,159;1,332;1,209;1,085;1,036;0,962;0,987;0,962;1,085;0,987;0,962;0,987;1,011
9;0,912;0,912;0,969;0,836;0,855;0,874;0,912;0,836;0,95;0,912;0,893;0,912;1,482;1,444;0,855;0,931;0,779;1,406;0,969;1,482;1,045;0,988;0,95;0,893
10;0,511;0,553;0,596;0,468;0,468;0,468;0,426;1,617;2,17;1,447;1,362;0,979;0,511;0,383;1,489;1,66;1,915;2,128;1,362;0,638;0,723;0,723;0,851;0,553
