BUS;TP;V;PH;PL;QL;CL;CAP;GD;BAT
1;1;0,9927;0;100;60;0;0;0;0
2;1;0,9574;0;90;40;0;0;0;0
3;1;0,9374;0;120;80;0;0;0;0
4;1;0,9176;0;60;30;0;0;0;0
5;1;0,8707;0;60;20;0;0;0;0
6;1;0,8641;0;200;100;0;0;0;0
7;1;0,855;0;200;100;0;0;0;0
8;1;0,8432;0;60;20;0;0;0;0
9;1;0,8324;0;60;20;0;0;0;0
10;1;0,8308;0;45;30;0;0;0;0
11;1;0,828;0;60;35;0;0;0;0
12;1;0,8167;0;60;35;0;0;0;0
13;1;0,8125;0;120;80;0;0;0;0
14;1;0,8099;0;60;10;0;0;0;0
15;1;0,8074;0;60;20;0;0;0;0
16;1;0,8037;0;60;20;0;0;0;0
17;1;0,8026;0;90;40;0;0;0;0
18;1;0,9916;0;90;40;0;0;0;0
19;1;0,9845;0;90;40;0;0;0;0
20;1;0,9831;0;90;40;0;0;0;0
21;1;0,9818;0;90;40;0;0;0;0
22;1;0,9504;0;90;50;0;0;0;0
23;1;0,9373;0;420;200;0;0;0;0
24;1;0,9309;0;420;200;0;0;0;0
25;1;0,8643;0;60;25;0;0;0;0
26;1;0,8557;0;60;25;0;0;0;0
27;1;0,8201;0;60;20;0;0;0;0
28;1;0,7945;0;120;70;0;0;0;0
29;1;0,7816;0;200;600;0;0;0;0
30;1;0,7739;0;150;70;0;0;0;0
31;1;0,7723;0;210;100;0;0;0;0
32;1;0,7717;0;60;40;0;0;0;0
33;3;1;0;0;0;0;0;0;0
