BUSK;BUSM;R;X;G;B;BSH;PMAX;QMAX;SMAX;IMAX;ST
84;1;0,1944;0,6624;0,407919069;-1,389946457;0;1000000000;1000000000;1000000000;5000;1
1;2;0,2096;0,4304;0,914579656;-1,878029981;0;1000000000;1000000000;1000000000;5000;1
2;3;0,2358;0,4842;0,812959695;-1,669359984;0;1000000000;1000000000;1000000000;5000;1
3;4;0,0917;0,1883;2,090467786;-4,292639958;0;1000000000;1000000000;1000000000;5000;1
4;5;0,2096;0,4304;0,914579656;-1,878029981;0;1000000000;1000000000;1000000000;5000;1
5;6;0,0393;0,0807;4,877758167;-10,0161599;0;1000000000;1000000000;1000000000;5000;1
6;7;0,0405;0,138;1,958011531;-6,671742993;0;1000000000;1000000000;1000000000;5000;1
7;8;0,1048;0,2152;1,829159313;-3,756059963;0;1000000000;1000000000;1000000000;5000;1
7;9;0,2358;0,4842;0,812959695;-1,669359984;0;1000000000;1000000000;1000000000;5000;1
7;10;0,1048;0,2152;1,829159313;-3,756059963;0;1000000000;1000000000;1000000000;5000;1
84;11;0,0786;0,1614;2,438879084;-5,008079951;0;1000000000;1000000000;1000000000;5000;1
11;12;0,3406;0,6944;0,569375058;-1,160816324;0;1000000000;1000000000;1000000000;5000;1
12;13;0,0262;0,0538;7,316637251;-15,02423985;0;1000000000;1000000000;1000000000;5000;1
12;14;0,0786;0,1614;2,438879084;-5,008079951;0;1000000000;1000000000;1000000000;5000;1
84;15;0,1134;0,3864;0,699289832;-2,382765355;0;1000000000;1000000000;1000000000;5000;1
15;16;0,0524;0,1076;3,658318626;-7,512119926;0;1000000000;1000000000;1000000000;5000;1
16;17;0,0524;0,1076;3,658318626;-7,512119926;0;1000000000;1000000000;1000000000;5000;1
17;18;0,1572;0,3228;1,219439542;-2,504039975;0;1000000000;1000000000;1000000000;5000;1
18;19;0,0393;0,0807;4,877758167;-10,0161599;0;1000000000;1000000000;1000000000;5000;1
19;20;0,1703;0,3497;1,1256365;-2,311421516;0;1000000000;1000000000;1000000000;5000;1
20;21;0,2358;0,4842;0,812959695;-1,669359984;0;1000000000;1000000000;1000000000;5000;1
21;22;0,1572;0,3228;1,219439542;-2,504039975;0;1000000000;1000000000;1000000000;5000;1
21;23;0,1965;0,4035;0,975551633;-2,00323198;0;1000000000;1000000000;1000000000;5000;1
23;24;0,131;0,269;1,46332745;-3,00484797;0;1000000000;1000000000;1000000000;5000;1
84;25;0,0567;0,1932;1,398579665;-4,765530709;0;1000000000;1000000000;1000000000;5000;1
25;26;0,1048;0,2152;1,829159313;-3,756059963;0;1000000000;1000000000;1000000000;5000;1
26;27;0,2489;0,5111;0,770172342;-1,581498932;0;1000000000;1000000000;1000000000;5000;1
27;28;0,0486;0,1656;1,631676275;-5,559785827;0;1000000000;1000000000;1000000000;5000;1
28;29;0,131;0,269;1,46332745;-3,00484797;0;1000000000;1000000000;1000000000;5000;1
84;30;0,1965;0,396;1,00548411;-2,026319122;0;1000000000;1000000000;1000000000;5000;1
30;31;0,131;0,269;1,46332745;-3,00484797;0;1000000000;1000000000;1000000000;5000;1
31;32;0,131;0,269;1,46332745;-3,00484797;0;1000000000;1000000000;1000000000;5000;1
32;33;0,0262;0,0538;7,316637251;-15,02423985;0;1000000000;1000000000;1000000000;5000;1
33;34;0,1703;0,3497;1,1256365;-2,311421516;0;1000000000;1000000000;1000000000;5000;1
34;35;0,0524;0,1076;3,658318626;-7,512119926;0;1000000000;1000000000;1000000000;5000;1
35;36;0,4978;1,0222;0,385086171;-0,790749466;0;1000000000;1000000000;1000000000;5000;1
36;37;0,0393;0,0807;4,877758167;-10,0161599;0;1000000000;1000000000;1000000000;5000;1
