BUS;VMIN;VMAX;PHMIN;PHMAX
1;0,9;1,1;-1,570796327;1,570796327
2;0,9;1,1;-1,570796327;1,570796327
3;0,9;1,1;-1,570796327;1,570796327
4;0,9;1,1;-1,570796327;1,570796327
5;0,9;1,1;-1,570796327;1,570796327
6;0,9;1,1;-1,570796327;1,570796327
7;0,9;1,1;-1,570796327;1,570796327
8;0,9;1,1;-1,570796327;1,570796327
9;0,9;1,1;-1,570796327;1,570796327
10;0,9;1,1;-1,570796327;1,570796327
11;0,9;1,1;-1,570796327;1,570796327
12;0,9;1,1;-1,570796327;1,570796327
13;0,9;1,1;-1,570796327;1,570796327
14;0,9;1,1;-1,570796327;1,570796327
15;0,9;1,1;-1,570796327;1,570796327
16;0,9;1,1;-1,570796327;1,570796327
17;0,9;1,1;-1,570796327;1,570796327
18;0,9;1,1;-1,570796327;1,570796327
19;0,9;1,1;-1,570796327;1,570796327
20;0,9;1,1;-1,570796327;1,570796327
21;0,9;1,1;-1,570796327;1,570796327
22;0,9;1,1;-1,570796327;1,570796327
23;0,9;1,1;-1,570796327;1,570796327
24;0,9;1,1;-1,570796327;1,570796327
25;0,9;1,1;-1,570796327;1,570796327
26;0,9;1,1;-1,570796327;1,570796327
27;0,9;1,1;-1,570796327;1,570796327
28;0,9;1,1;-1,570796327;1,570796327
29;0,9;1,1;-1,570796327;1,570796327
30;0,9;1,1;-1,570796327;1,570796327
31;0,9;1,1;-1,570796327;1,570796327
32;0,9;1,1;-1,570796327;1,570796327
33;0,9;1,1;-1,570796327;1,570796327
34;0,9;1,1;-1,570796327;1,570796327
35;0,9;1,1;-1,570796327;1,570796327
36;0,9;1,1;-1,570796327;1,570796327
37;0,9;1,1;-1,570796327;1,570796327
38;0,9;1,1;-1,570796327;1,570796327
39;0,9;1,1;-1,570796327;1,570796327
40;0,9;1,1;-1,570796327;1,570796327
41;0,9;1,1;-1,570796327;1,570796327
42;0,9;1,1;-1,570796327;1,570796327
43;0,9;1,1;-1,570796327;1,570796327
44;0,9;1,1;-1,570796327;1,570796327
45;0,9;1,1;-1,570796327;1,570796327
46;0,9;1,1;-1,570796327;1,570796327
47;0,9;1,1;-1,570796327;1,570796327
48;0,9;1,1;-1,570796327;1,570796327
49;0,9;1,1;-1,570796327;1,570796327
50;0,9;1,1;-1,570796327;1,570796327
51;0,9;1,1;-1,570796327;1,570796327
52;0,9;1,1;-1,570796327;1,570796327
53;0,9;1,1;-1,570796327;1,570796327
54;0,9;1,1;-1,570796327;1,570796327
55;0,9;1,1;-1,570796327;1,570796327
56;0,9;1,1;-1,570796327;1,570796327
57;0,9;1,1;-1,570796327;1,570796327
58;0,9;1,1;-1,570796327;1,570796327
59;0,9;1,1;-1,570796327;1,570796327
60;0,9;1,1;-1,570796327;1,570796327
61;0,9;1,1;-1,570796327;1,570796327
62;0,9;1,1;-1,570796327;1,570796327
63;0,9;1,1;-1,570796327;1,570796327
64;0,9;1,1;-1,570796327;1,570796327
65;0,9;1,1;-1,570796327;1,570796327
66;0,9;1,1;-1,570796327;1,570796327
67;0,9;1,1;-1,570796327;1,570796327
68;0,9;1,1;-1,570796327;1,570796327
69;0,9;1,1;-1,570796327;1,570796327
70;0,9;1,1;-1,570796327;1,570796327
71;0,9;1,1;-1,570796327;1,570796327
72;0,9;1,1;-1,570796327;1,570796327
73;0,9;1,1;-1,570796327;1,570796327
74;0,9;1,1;-1,570796327;1,570796327
75;0,9;1,1;-1,570796327;1,570796327
76;0,9;1,1;-1,570796327;1,570796327
77;0,9;1,1;-1,570796327;1,570796327
78;0,9;1,1;-1,570796327;1,570796327
79;0,9;1,1;-1,570796327;1,570796327
80;0,9;1,1;-1,570796327;1,570796327
81;0,9;1,1;-1,570796327;1,570796327
82;0,9;1,1;-1,570796327;1,570796327
83;0,9;1,1;-1,570796327;1,570796327
84;1;1;0;0
